endereco_cep,endereco_municipio,endereco_uf,endereco_regiao,endereco_mesorregiao
45993264,TEIXEIRA DE FREITAS,BA,NORDESTE,SUL BAIANO
04849026,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
88240000,SAO JOAO BATISTA,SC,SUL,GRANDE FLORIANOPOLIS
81480285,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
89082415,INDAIAL,SC,SUL,VALE DO ITAJAI
13720000,SAO JOSE DO RIO PARDO,SP,SUDESTE,CAMPINAS
74440300,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
06401000,BARUERI,SP,SUDESTE,METROPOLITANA DE SAO PAULO
09844115,SAO BERNARDO DO CAMPO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
23914425,ANGRA DOS REIS,RJ,SUDESTE,SUL FLUMINENSE
38061150,UBERABA,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
28010090,CAMPOS DOS GOYTACAZES,RJ,SUDESTE,NORTE FLUMINENSE
99200000,GUAPORE,RS,SUL,NORDESTE RIO GRANDENSE
96081220,PELOTAS,RS,SUL,SUDESTE RIO GRANDENSE
23815270,ITAGUAI,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
78095280,CUIABA,MT,CENTRO-OESTE,CENTRO SUL MATO GROSSENSE
80630280,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
36062440,JUIZ DE FORA,MG,SUDESTE,ZONA DA MATA
54570000,CABO DE SANTO AGOSTINHO,PE,NORDESTE,METROPOLITANA DE RECIFE
87025756,MARINGA,PR,SUL,NORTE CENTRAL PARANAENSE
63150000,CAMPOS SALES,CE,NORDESTE,SUL CEARENSE
77803060,ARAGUAINA,TO,NORTE,OCIDENTAL DO TOCANTINS
84010010,PONTA GROSSA,PR,SUL,CENTRO ORIENTAL PARANAENSE
37615000,SENADOR AMARAL,MG,SUDESTE,SUL SUDOESTE DE MINAS
68660000,SAO MIGUEL DO GUAMA,PA,NORTE,NORDESTE PARAENSE
56330310,PETROLINA,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO
86010150,LONDRINA,PR,SUL,NORTE CENTRAL PARANAENSE
95590000,TRAMANDAI,RS,SUL,METROPOLITANA DE PORTO ALEGRE
56308060,PETROLINA,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO
31140030,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
66060060,BELEM,PA,NORTE,METROPOLITANA DE BELEM
69074410,MANAUS,AM,NORTE,CENTRO AMAZONENSE
07230030,GUARULHOS,SP,SUDESTE,METROPOLITANA DE SAO PAULO
40750098,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
71258140,BRASILIA,DF,CENTRO-OESTE,DISTRITO FEDERAL
09132600,SANTO ANDRE,SP,SUDESTE,METROPOLITANA DE SAO PAULO
30840500,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
35182282,TIMOTEO,MG,SUDESTE,VALE DO RIO DOCE
72914505,AGUAS LINDAS DE GOIAS,GO,CENTRO-OESTE,LESTE GOIANO
37757000,POCO FUNDO,MG,SUDESTE,SUL SUDOESTE DE MINAS
36087030,JUIZ DE FORA,MG,SUDESTE,ZONA DA MATA
13033050,CAMPINAS,SP,SUDESTE,CAMPINAS
38406136,UBERLANDIA,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
90820200,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
86900000,JANDAIA DO SUL,PR,SUL,NORTE CENTRAL PARANAENSE
12503840,GUARATINGUETA,SP,SUDESTE,VALE DO PARAIBA PAULISTA
20760000,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
25720062,PETROPOLIS,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
64803335,FLORIANO,PI,NORDESTE,SUDOESTE PIAUIENSE
68501570,MARABA,PA,NORTE,SUDESTE PARAENSE
74477335,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
79780000,BATAGUASSU,MS,CENTRO-OESTE,LESTE DE MATO GROSSO DO SUL
02995300,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
97501644,URUGUAIANA,RS,SUL,SUDOESTE RIO GRANDENSE
06417030,BARUERI,SP,SUDESTE,METROPOLITANA DE SAO PAULO
11910000,SETE BARRAS,SP,SUDESTE,LITORAL SUL PAULISTA
13275704,VALINHOS,SP,SUDESTE,CAMPINAS
18769899,CERQUEIRA CESAR,SP,SUDESTE,BAURU
77249899,PALMAS,TO,NORTE,ORIENTAL DO TOCANTINS
14031238,RIBEIRAO PRETO,SP,SUDESTE,RIBEIRAO PRETO
27322370,BARRA MANSA,RJ,SUDESTE,SUL FLUMINENSE
13335500,INDAIATUBA,SP,SUDESTE,CAMPINAS
74290045,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
82510000,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
80430200,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
31070470,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
39480000,JANUARIA,MG,SUDESTE,NORTE DE MINAS
35590000,LAGOA DA PRATA,MG,SUDESTE,CENTRAL MINEIRA
93600320,ESTANCIA VELHA,RS,SUL,METROPOLITANA DE PORTO ALEGRE
57241004,SAO MIGUEL DOS CAMPOS,AL,NORDESTE,LESTE ALAGOANO
56780000,TABIRA,PE,NORDESTE,SERTAO PERNAMBUCANO
65919200,IMPERATRIZ,MA,NORDESTE,OESTE MARANHENSE
17014020,BAURU,SP,SUDESTE,BAURU
68501523,MARABA,PA,NORTE,SUDESTE PARAENSE
85903170,TOLEDO,PR,SUL,OESTE PARANAENSE
40015090,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
74605010,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
22281080,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
30190008,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
15980000,DOBRADA,SP,SUDESTE,ARARAQUARA
41825000,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
25010750,DUQUE DE CAXIAS,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
22631903,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
77470000,FORMOSO DO ARAGUAIA,TO,NORTE,OCIDENTAL DO TOCANTINS
86010460,LONDRINA,PR,SUL,NORTE CENTRAL PARANAENSE
37548970,CONCEICAO DOS OUROS,MG,SUDESTE,SUL SUDOESTE DE MINAS
59300000,CAICO,RN,NORDESTE,CENTRAL POTIGUAR
45345000,JAGUAQUARA,BA,NORDESTE,CENTRO SUL BAIANO
57442000,OLHO D AGUA DAS FLORES,AL,NORDESTE,SERTAO ALAGOANO
39373000,MIRABELA,MG,SUDESTE,NORTE DE MINAS
85790970,CAPITAO LEONIDAS MARQUES,PR,SUL,OESTE PARANAENSE
79084122,CAMPO GRANDE,MS,CENTRO-OESTE,CENTRO NORTE DE MATO GROSSO DO SUL
85730000,PRANCHITA,PR,SUL,SUDOESTE PARANAENSE
98920000,HORIZONTINA,RS,SUL,NOROESTE RIO GRANDENSE
96760000,TAPES,RS,SUL,METROPOLITANA DE PORTO ALEGRE
02306002,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
22420010,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
15407350,OLIMPIA,SP,SUDESTE,SAO JOSE DO RIO PRETO
64045440,TERESINA,PI,NORDESTE,CENTRO NORTE PIAUIENSE
13468573,AMERICANA,SP,SUDESTE,CAMPINAS
49025100,ARACAJU,SE,NORDESTE,LESTE SERGIPANO
35164102,IPATINGA,MG,SUDESTE,VALE DO RIO DOCE
04938150,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
08737290,MOGI DAS CRUZES,SP,SUDESTE,METROPOLITANA DE SAO PAULO
35668000,CONCEICAO DO PARA,MG,SUDESTE,OESTE DE MINAS
01016040,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
04427020,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
47820000,SAO DESIDERIO,BA,NORDESTE,EXTREMO OESTE BAIANO
09070331,SANTO ANDRE,SP,SUDESTE,METROPOLITANA DE SAO PAULO
01304001,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
25850000,PARAIBA DO SUL,RJ,SUDESTE,CENTRO FLUMINENSE
02046090,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
88750000,BRACO DO NORTE,SC,SUL,SUL CATARINENSE
01411010,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
36030480,JUIZ DE FORA,MG,SUDESTE,ZONA DA MATA
78450000,NOVA MUTUM,MT,CENTRO-OESTE,NORTE MATO GROSSENSE
41385140,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
78410000,ALTO PARAGUAI,MT,CENTRO-OESTE,CENTRO SUL MATO GROSSENSE
89464060,CANOINHAS,SC,SUL,NORTE CATARINENSE
29370970,CONCEICAO DO CASTELO,ES,SUDESTE,CENTRAL ESPIRITO SANTENSE
12943160,ATIBAIA,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
74093250,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
50830170,RECIFE,PE,NORDESTE,METROPOLITANA DE RECIFE
25730735,PETROPOLIS,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
13400310,PIRACICABA,SP,SUDESTE,PIRACICABA
60763015,FORTALEZA,CE,NORDESTE,METROPOLITANA DE FORTALEZA
07955000,FRANCISCO MORATO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
64500000,OEIRAS,PI,NORDESTE,SUDESTE PIAUIENSE
86165000,FLORESTOPOLIS,PR,SUL,NORTE CENTRAL PARANAENSE
21211740,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
27525464,RESENDE,RJ,SUDESTE,SUL FLUMINENSE
18425970,TAQUARIVAI,SP,SUDESTE,ITAPETININGA
99250000,SERAFINA CORREA,RS,SUL,NORDESTE RIO GRANDENSE
34000168,NOVA LIMA,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
06321260,CARAPICUIBA,SP,SUDESTE,METROPOLITANA DE SAO PAULO
14900000,ITAPOLIS,SP,SUDESTE,ARARAQUARA
74543010,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
86620000,GUARACI,PR,SUL,NORTE CENTRAL PARANAENSE
44695000,CAPIM GROSSO,BA,NORDESTE,CENTRO NORTE BAIANO
94190000,GRAVATAI,RS,SUL,METROPOLITANA DE PORTO ALEGRE
13026515,CAMPINAS,SP,SUDESTE,CAMPINAS
72320300,BRASILIA,DF,CENTRO-OESTE,DISTRITO FEDERAL
85660000,DOIS VIZINHOS,PR,SUL,SUDOESTE PARANAENSE
14051030,RIBEIRAO PRETO,SP,SUDESTE,RIBEIRAO PRETO
69036720,MANAUS,AM,NORTE,CENTRO AMAZONENSE
40450590,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
16400635,LINS,SP,SUDESTE,BAURU
97032020,SANTA MARIA,RS,SUL,CENTRO OCIDENTAL RIO GRANDENSE
07161230,GUARULHOS,SP,SUDESTE,METROPOLITANA DE SAO PAULO
14080560,RIBEIRAO PRETO,SP,SUDESTE,RIBEIRAO PRETO
57680970,BOCA DA MATA,AL,NORDESTE,LESTE ALAGOANO
39640000,BERILO,MG,SUDESTE,JEQUITINHONHA
18602091,BOTUCATU,SP,SUDESTE,BAURU
78300000,TANGARA DA SERRA,MT,CENTRO-OESTE,SUDOESTE MATO GROSSENSE
89650000,TREZE TILIAS,SC,SUL,OESTE CATARINENSE
56850000,FLORES,PE,NORDESTE,SERTAO PERNAMBUCANO
83260000,MATINHOS,PR,SUL,METROPOLITANA DE CURITIBA
80620100,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
06756010,TABOAO DA SERRA,SP,SUDESTE,METROPOLITANA DE SAO PAULO
31150270,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
58051593,JOAO PESSOA,PB,NORDESTE,MATA PARAIBANA
38401574,UBERLANDIA,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
06683480,ITAPEVI,SP,SUDESTE,METROPOLITANA DE SAO PAULO
89266000,JARAGUA DO SUL,SC,SUL,NORTE CATARINENSE
74520070,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
42709190,LAURO DE FREITAS,BA,NORDESTE,METROPOLITANA DE SALVADOR
59215000,NOVA CRUZ,RN,NORDESTE,AGRESTE POTIGUAR
29450000,APIACA,ES,SUDESTE,SUL ESPIRITO SANTENSE
02074002,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
08310100,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
78201038,CACERES,MT,CENTRO-OESTE,CENTRO SUL MATO GROSSENSE
82630305,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
89226030,JOINVILLE,SC,SUL,NORTE CATARINENSE
13024180,CAMPINAS,SP,SUDESTE,CAMPINAS
59575000,EXTREMOZ,RN,NORDESTE,LESTE POTIGUAR
14010100,RIBEIRAO PRETO,SP,SUDESTE,RIBEIRAO PRETO
36972000,MARTINS SOARES,MG,SUDESTE,ZONA DA MATA
32250000,CONTAGEM,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
31110050,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
20770240,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
18045290,SOROCABA,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
15040050,SAO JOSE DO RIO PRETO,SP,SUDESTE,SAO JOSE DO RIO PRETO
14500000,ITUVERAVA,SP,SUDESTE,RIBEIRAO PRETO
39442010,JANAUBA,MG,SUDESTE,NORTE DE MINAS
41412210,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
93219070,SAPUCAIA DO SUL,RS,SUL,METROPOLITANA DE PORTO ALEGRE
04829260,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
85930000,NOVA SANTA ROSA,PR,SUL,OESTE PARANAENSE
96407030,BAGE,RS,SUL,SUDOESTE RIO GRANDENSE
25255080,DUQUE DE CAXIAS,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
93608210,ESTANCIA VELHA,RS,SUL,METROPOLITANA DE PORTO ALEGRE
89227015,JOINVILLE,SC,SUL,NORTE CATARINENSE
93819032,SAPIRANGA,RS,SUL,METROPOLITANA DE PORTO ALEGRE
75680001,CALDAS NOVAS,GO,CENTRO-OESTE,SUL GOIANO
57500000,SANTANA DO IPANEMA,AL,NORDESTE,SERTAO ALAGOANO
38702088,PATOS DE MINAS,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
04057000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
26587060,MESQUITA,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
05206020,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
69055410,MANAUS,AM,NORTE,CENTRO AMAZONENSE
82820490,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
02055000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
97300818,SAO GABRIEL,RS,SUL,SUDOESTE RIO GRANDENSE
84508899,IRATI,PR,SUL,SUDESTE PARANAENSE
41830590,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
78690000,NOVA XAVANTINA,MT,CENTRO-OESTE,NORDESTE MATO GROSSENSE
95059660,CAXIAS DO SUL,RS,SUL,NORDESTE RIO GRANDENSE
75143315,ANAPOLIS,GO,CENTRO-OESTE,CENTRO GOIANO
20081000,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
44830000,PIRITIBA,BA,NORDESTE,CENTRO NORTE BAIANO
08555600,POA,SP,SUDESTE,METROPOLITANA DE SAO PAULO
38010130,UBERABA,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
75806600,JATAI,GO,CENTRO-OESTE,SUL GOIANO
35334971,SAO SEBASTIAO DO ANTA,MG,SUDESTE,VALE DO RIO DOCE
89249000,ITAPOA,SC,SUL,NORTE CATARINENSE
39401172,MONTES CLAROS,MG,SUDESTE,NORTE DE MINAS
38413150,UBERLANDIA,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
79840460,DOURADOS,MS,CENTRO-OESTE,SUDOESTE DE MATO GROSSO DO SUL
83750000,LAPA,PR,SUL,METROPOLITANA DE CURITIBA
89900000,SAO MIGUEL DO OESTE,SC,SUL,OESTE CATARINENSE
28630595,NOVA FRIBURGO,RJ,SUDESTE,CENTRO FLUMINENSE
35555000,CAMACHO,MG,SUDESTE,OESTE DE MINAS
23535650,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
13606324,ARARAS,SP,SUDESTE,PIRACICABA
39403202,MONTES CLAROS,MG,SUDESTE,NORTE DE MINAS
28053100,CAMPOS DOS GOYTACAZES,RJ,SUDESTE,NORTE FLUMINENSE
40725455,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
36940000,SANTANA DO MANHUACU,MG,SUDESTE,ZONA DA MATA
03560080,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
04022040,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
25882000,SAPUCAIA,RJ,SUDESTE,CENTRO FLUMINENSE
14706205,BEBEDOURO,SP,SUDESTE,RIBEIRAO PRETO
02350002,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
29907190,LINHARES,ES,SUDESTE,LITORAL NORTE ESPIRITO SANTENSE
68430000,IGARAPE MIRI,PA,NORTE,NORDESTE PARAENSE
75170000,GOIANAPOLIS,GO,CENTRO-OESTE,CENTRO GOIANO
77021040,PALMAS,TO,NORTE,ORIENTAL DO TOCANTINS
54410310,JABOATAO DOS GUARARAPES,PE,NORDESTE,METROPOLITANA DE RECIFE
89306305,MAFRA,SC,SUL,NORTE CATARINENSE
89041002,BLUMENAU,SC,SUL,VALE DO ITAJAI
58020830,JOAO PESSOA,PB,NORDESTE,MATA PARAIBANA
17320000,MINEIROS DO TIETE,SP,SUDESTE,BAURU
20930480,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
05890220,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
37930000,CAPITOLIO,MG,SUDESTE,SUL SUDOESTE DE MINAS
13070118,CAMPINAS,SP,SUDESTE,CAMPINAS
35661456,PARA DE MINAS,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
06693340,ITAPEVI,SP,SUDESTE,METROPOLITANA DE SAO PAULO
53270045,OLINDA,PE,NORDESTE,METROPOLITANA DE RECIFE
83330240,PINHAIS,PR,SUL,METROPOLITANA DE CURITIBA
95074300,CAXIAS DO SUL,RS,SUL,NORDESTE RIO GRANDENSE
68625295,PARAGOMINAS,PA,NORTE,SUDESTE PARAENSE
88135098,PALHOCA,SC,SUL,GRANDE FLORIANOPOLIS
37208436,LAVRAS,MG,SUDESTE,CAMPO DAS VERTENTES
17055175,BAURU,SP,SUDESTE,BAURU
69985000,RODRIGUES ALVES,AC,NORTE,VALE DO JURUA
13190000,MONTE MOR,SP,SUDESTE,CAMPINAS
44230000,AMELIA RODRIGUES,BA,NORDESTE,METROPOLITANA DE SALVADOR
95032270,CAXIAS DO SUL,RS,SUL,NORDESTE RIO GRANDENSE
22031012,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
41260005,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
46650000,BARRA DA ESTIVA,BA,NORDESTE,CENTRO SUL BAIANO
18530000,TIETE,SP,SUDESTE,PIRACICABA
16203593,BIRIGUI,SP,SUDESTE,ARACATUBA
08585020,ITAQUAQUECETUBA,SP,SUDESTE,METROPOLITANA DE SAO PAULO
02413200,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
13465160,AMERICANA,SP,SUDESTE,CAMPINAS
01122000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
13631040,PIRASSUNUNGA,SP,SUDESTE,CAMPINAS
50020255,RECIFE,PE,NORDESTE,METROPOLITANA DE RECIFE
27525662,RESENDE,RJ,SUDESTE,SUL FLUMINENSE
74475420,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
25230020,DUQUE DE CAXIAS,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
77650000,MIRACEMA DO TOCANTINS,TO,NORTE,OCIDENTAL DO TOCANTINS
63610000,MOMBACA,CE,NORDESTE,SERTOES CEARENSES
45700000,ITAPETINGA,BA,NORDESTE,CENTRO SUL BAIANO
44053194,FEIRA DE SANTANA,BA,NORDESTE,CENTRO NORTE BAIANO
16050620,ARACATUBA,SP,SUDESTE,ARACATUBA
89259340,JARAGUA DO SUL,SC,SUL,NORTE CATARINENSE
18075000,SOROCABA,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
04538132,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
88360000,GUABIRUBA,SC,SUL,VALE DO ITAJAI
90010240,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
78890000,SORRISO,MT,CENTRO-OESTE,NORTE MATO GROSSENSE
65715000,LAGO DA PEDRA,MA,NORDESTE,OESTE MARANHENSE
83320160,PINHAIS,PR,SUL,METROPOLITANA DE CURITIBA
21240440,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
13207605,JUNDIAI,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
68820000,SAO SEBASTIAO DA BOA VISTA,PA,NORTE,MARAJO
26178390,BELFORD ROXO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
27310310,BARRA MANSA,RJ,SUDESTE,SUL FLUMINENSE
78135603,VARZEA GRANDE,MT,CENTRO-OESTE,CENTRO SUL MATO GROSSENSE
84200000,JAGUARIAIVA,PR,SUL,CENTRO ORIENTAL PARANAENSE
72210182,BRASILIA,DF,CENTRO-OESTE,DISTRITO FEDERAL
72011904,BRASILIA,DF,CENTRO-OESTE,DISTRITO FEDERAL
35500011,DIVINOPOLIS,MG,SUDESTE,OESTE DE MINAS
47600000,BOM JESUS DA LAPA,BA,NORDESTE,VALE SAO FRANCISCANO DA BAHIA
26580250,MESQUITA,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
65830000,SAMBAIBA,MA,NORDESTE,SUL MARANHENSE
09910670,DIADEMA,SP,SUDESTE,METROPOLITANA DE SAO PAULO
59022150,NATAL,RN,NORDESTE,LESTE POTIGUAR
50740700,RECIFE,PE,NORDESTE,METROPOLITANA DE RECIFE
12244380,SAO JOSE DOS CAMPOS,SP,SUDESTE,VALE DO PARAIBA PAULISTA
23065006,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
91712210,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
14021798,RIBEIRAO PRETO,SP,SUDESTE,RIBEIRAO PRETO
01023902,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
89207000,JOINVILLE,SC,SUL,NORTE CATARINENSE
44088702,FEIRA DE SANTANA,BA,NORDESTE,CENTRO NORTE BAIANO
37177000,GUAPE,MG,SUDESTE,SUL SUDOESTE DE MINAS
90110040,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
09080371,SANTO ANDRE,SP,SUDESTE,METROPOLITANA DE SAO PAULO
13690000,DESCALVADO,SP,SUDESTE,ARARAQUARA
36660000,ALEM PARAIBA,MG,SUDESTE,ZONA DA MATA
38414346,UBERLANDIA,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
29800000,BARRA DE SAO FRANCISCO,ES,SUDESTE,NOROESTE ESPIRITO SANTENSE
45570000,IPIAU,BA,NORDESTE,SUL BAIANO
31250200,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
45027104,VITORIA DA CONQUISTA,BA,NORDESTE,CENTRO SUL BAIANO
89286328,SAO BENTO DO SUL,SC,SUL,NORTE CATARINENSE
41705280,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
81830285,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
18030300,SOROCABA,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
21531610,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
05301000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
69260000,NOVO ARIPUANA,AM,NORTE,SUL AMAZONENSE
47520000,IBOTIRAMA,BA,NORDESTE,VALE SAO FRANCISCANO DA BAHIA
55860000,SAO VICENTE FERRER,PE,NORDESTE,AGRESTE PERNAMBUCANO
01525001,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
95707010,BENTO GONCALVES,RS,SUL,NORDESTE RIO GRANDENSE
95780000,MONTENEGRO,RS,SUL,METROPOLITANA DE PORTO ALEGRE
88040300,FLORIANOPOLIS,SC,SUL,GRANDE FLORIANOPOLIS
06397460,CARAPICUIBA,SP,SUDESTE,METROPOLITANA DE SAO PAULO
40715400,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
44190000,SANTO ESTEVAO,BA,NORDESTE,CENTRO NORTE BAIANO
26021820,NOVA IGUACU,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
22640102,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
83825295,FAZENDA RIO GRANDE,PR,SUL,METROPOLITANA DE CURITIBA
73340107,BRASILIA,DF,CENTRO-OESTE,DISTRITO FEDERAL
28893123,RIO DAS OSTRAS,RJ,SUDESTE,BAIXADAS
72880592,CIDADE OCIDENTAL,GO,CENTRO-OESTE,LESTE GOIANO
25520000,SAO JOAO DE MERITI,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
01310300,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
90440003,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
82810280,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
88870000,ORLEANS,SC,SUL,SUL CATARINENSE
87380000,JANIOPOLIS,PR,SUL,CENTRO OCIDENTAL PARANAENSE
35502809,DIVINOPOLIS,MG,SUDESTE,OESTE DE MINAS
05136350,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
03935100,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
02081030,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
40026170,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
29041650,VITORIA,ES,SUDESTE,CENTRAL ESPIRITO SANTENSE
33113165,SANTA LUZIA,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
68515000,PARAUAPEBAS,PA,NORTE,SUDESTE PARAENSE
03324100,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
05048000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
